Mixture,LVECt,Other,LSEC,Hepatocytes,LVEC,Carcinoma,P-value,Correlation,RMSE
RK128_Cancer,0.124607379973147,0.370495966032043,0.0162757825021807,0.0995267047428273,0,0.389094166749802,0,0.745840642622605,0.815820013066795
RK107_Cancer,0,0.324683177004629,0.0102630060778369,0.18162335540997,0.124566201971494,0.358864259536069,0,0.836948781338406,0.665506073317903
RK208_Cancer,0.0355922326068995,0.218371112276584,0,4.16579057688201e-05,0.137093550355857,0.608901446854891,0,0.681139610638958,0.937706041613398
RK107_Liver,0,0.303256609367622,0.0684397721628668,0.310492301840556,0.0878282351335094,0.229983081495446,0,0.95211948806592,0.364126467654617
RK193_Liver,0.0444761873892787,0.286715543453915,0.0336335119351623,0.155621864955312,0.153018685088856,0.326534207177476,0,0.875371917671784,0.681117978535143
RK019_Liver,0.00210478413516492,0.237169784728502,0.0575287316211828,0.310363663282351,0.0930142041389072,0.299818832093892,0,0.933957495618787,0.401178884254597
RK018_Cancer,0.0289329165989626,0.370471368596008,0.00873527678118787,0.245204295089144,0.146897637486463,0.199758505448235,0,0.853377847986741,0.576991537197668
RK060_Liver,0.00546484812890409,0.324404155898736,0.0818584598683499,0.286123522397153,0.0736252727640433,0.228523740942814,0,0.925963361806564,0.439893706117883
RK024_Cancer,0.0964608565985113,0.261909211523167,0.0135252594201011,0.132472086410366,0.0005472574509021,0.495085328596953,0,0.737701013606782,0.782155467804803
RK228_Liver,0,0.333161408233678,0.10947842650852,0.248442021140179,0.0949847681773996,0.213933375940223,0,0.822619564763335,0.605486013899279
RK014_Liver,0,0.342853242391658,0.0250054740686609,0.259892971979915,0.178797012061468,0.193451299498298,0,0.846669707305231,0.571194354094529
RK177_Liver,0.0240963817994954,0.346636111079876,0.0835507938014225,0.203022279969847,0.131330357298494,0.211364076050864,0,0.934904329267849,0.554319816185468
RK228_Cancer,0,0.309758316241818,0.00718167602608106,0.0607900901199251,0.0944273702070324,0.527842547405144,0,0.58692738003105,0.901514483251657
RK037_Cancer,0.0123061484727638,0.382837352576201,0.0238171974713795,0.128229685438508,0.0795995139294674,0.37321010211168,0,0.829075862903144,0.742856485558582
RK309_Cancer,0.134866204081806,0.330705190990774,0,0.00948123462838611,0.148602700802098,0.376344669496936,0,0.510119983145703,0.947767093815777
RK155_Cancer,0,0.377869530642769,0.0133622284650311,0.123715020079454,0.147512039794979,0.337541181017767,0,0.733785475638669,0.790940572809339
RK151_Liver,0.0208139039308136,0.313090882588099,0.0309533397112085,0.192533444359439,0.116915865080675,0.325692564329765,0,0.845241195977303,0.645596033737916
RK106_Liver,0,0.285678358255794,0.0852640060561931,0.337429243549689,0.057097619716251,0.234530772422073,0,0.94005836451535,0.365011534351924
RK200_Liver,0,0.240343102621459,0.0702308238408509,0.292101980496133,0.101934547193121,0.295389545848437,0,0.943667209504769,0.404174504130876
RK245_Cancer,0.0262004709808225,0.413483575083719,0.0256050108510877,0.102570188900497,0.0948075552406838,0.33733319894319,0,0.84557218179292,0.773892089274416
