Mixture,CD8+ Cells,Tregs,Non-immune cluster,Nk Cells,CD4+ Cells,B Cells,Myeloid,Mast Cells,P-value,Correlation,RMSE,,T Cells
TCGA-ED-A7PZ-01,0.080419656944244,0.058662190456992,0.467714816884301,0.146134462959349,0.065460842752556,0.068656112382382,0.112477227705302,0.000474689914875,0,0.735990245478933,0.68918971409928,,0.204542690153791
TCGA-YA-A8S7-01,0.105216055861791,0.059047875581542,0.246450285970891,0.162876125868412,0.065560850733816,0.037937649657449,0.322088475844533,0.000822680481566,0,0.621570341779151,0.812475250412126,,0.229824782177148
TCGA-DD-A39X-01,0.058873807204832,0.046151159665938,0.625160040166475,0.093822485761126,0.063956640532143,0.037508410334417,0.074409494209271,0.000117962125798,0,0.809512314555073,0.590449760565479,,0.168981607402913
TCGA-DD-AACF-01,0.096877494013227,0.008577558767184,0.670484442628871,0.069989207844588,0.086166357932941,0.024000189536688,0.041143302783982,0.002761446492519,0,0.83847187309128,0.549026829253758,,0.191621410713352
TCGA-DD-A1EC-01,0.11033418604481,0.069210323703611,0.269435895264217,0.176867984726541,0.144872002409813,0.052423748519642,0.174134731798998,0.002721127532368,0,0.553011891177227,0.84905646049541,,0.324416512158234
TCGA-DD-AAE0-01,0.080692300448799,0.119499903685631,0.260209189210747,0.247621906063904,0.054853185967382,0.089784721744029,0.146872650948297,0.000466141931209,0,0.645948848948366,0.810160142340444,,0.255045390101812
TCGA-G3-AAV0-01,0.101104458202757,0.027289835774338,0.711269321637916,0.041165366118554,0.03599532462229,0.050564539031909,0.029054158259906,0.00355699635233,0,0.758513810152976,0.670028671844082,,0.164389618599385
TCGA-XR-A8TD-01,0.126060566628074,0.016846307742702,0.528431939016353,0.081489704532489,0.096093062398091,0.01876607066501,0.126184884458354,0.006127464558927,0,0.911435872109079,0.471612933294478,,0.238999936768867
TCGA-DD-A1EE-11,0.094524059051591,0,0.722876483937115,0.03462389135268,0.106997706308174,0.005382344260354,0.032978424175827,0.002617090914258,0,0.792077505840639,0.625450951437115,,0.201521765359765
TCGA-CC-A5UE-01,0.107931508306121,0.067535408503164,0.472167515015663,0.120868138377228,0.081856834098244,0.045229690028186,0.103960170870291,0.000450734801104,0,0.785284825725509,0.643484668951988,,0.257323750907528
TCGA-DD-AACJ-01,0.079455694062528,0.031408912647422,0.662179314755922,0.085370531399195,0.052945056642569,0.027818583482598,0.060290164689757,0.00053174232001,0,0.870157446301207,0.498556799554315,,0.163809663352519
TCGA-G3-AAV5-01,0.083473666095441,0.046698273034077,0.473197696008922,0.074487684368161,0.148706849198215,0.042780543116332,0.130379367728054,0.000275920450798,0,0.758352002827191,0.667368379106898,,0.278878788327733
TCGA-DD-A1EB-11,0.076694279965458,0,0.661353299632435,0.00188153756009,0.193116643706939,0.019157106729076,0.045774674280847,0.002022458125155,0,0.872389318955229,0.494570007907641,,0.269810923672397
TCGA-BC-A10W-11,0.136194040634985,0.019373699748307,0.726078911617941,0.049682066949831,0.009897496880709,0.003281270153114,0.050861950820372,0.004630563194741,0,0.888285581670959,0.466735688493678,,0.165465237264001
TCGA-DD-AAVS-01,0.116044626364088,0.042794362432732,0.553002794318975,0.081540751732621,0.098078753319923,0.034756383701019,0.07341537030902,0.000366957821622,0,0.77917385559052,0.632654601200023,,0.256917742116742
TCGA-DD-A11B-01,0.128450408085383,0.014097526715783,0.612363462839978,0.037989980320285,0.120200660179729,0.026882389000784,0.052825609549373,0.007189963308685,0,0.796550088150474,0.607423366013596,,0.262748594980895
TCGA-MI-A75C-01,0.096744817454046,0.027816455795806,0.564437479567896,0.096660566325806,0.073628388614735,0.026053928540938,0.113748787100901,0.000909576599873,0,0.778320334112594,0.631917236865512,,0.198189661864587
TCGA-ED-A8O5-01,0.118212537670123,0.023594513081168,0.5478978351983,0.071130126547928,0.143499735510881,0.038098806170142,0.057315481883373,0.000250963938085,0,0.718784975717877,0.696623194220208,,0.285306786262172
TCGA-BC-4072-01,0.132807065028852,0.066726874586363,0.361243726310245,0.131326701187613,0.111168754681516,0.027864806052621,0.159016600492325,0.009845471660464,0,0.690780095942518,0.749481144383031,,0.310702694296731
TCGA-DD-AAW3-01,0.132724706723287,0.047304626179039,0.499157975720879,0.114613720716382,0.059698538383197,0.03734520253839,0.107639877534526,0.0015153522043,0,0.762563358705505,0.658321947555352,,0.239727871285523
TCGA-G3-A5SK-01,0.110340221129073,0,0.672462917716042,0.067892774552865,0.067831422081918,0.027102446014052,0.052321876618057,0.002048341887993,0,0.799746085693501,0.605997297241257,,0.178171643210991
TCGA-BC-A110-01,0.054698268632166,0.007527677098224,0.647429888648099,0.121467194566284,0.091144068526221,0.008717767697062,0.065308182246617,0.003706952585327,0,0.835299351927156,0.553437267402627,,0.153370014256611
TCGA-DD-A3A7-01,0.07179736542809,0.072929207340139,0.622954476118957,0.105683168558925,0.059980361029337,0.03227084714471,0.031181994135634,0.003202580244209,0,0.845972368305416,0.539765975778453,,0.204706933797565
TCGA-BC-A10R-11,0.124438099287632,0.019416227360664,0.674987700100417,0.016869114204765,0.091596511789522,0.010338097958551,0.058801991491414,0.003552257807036,0,0.881084932239981,0.478898554631011,,0.235450838437817
TCGA-DD-A1EI-11,0.075353726934575,0.018169027293895,0.752446359730281,0.040607944288533,0.067766715760746,0.014654135678599,0.02777403065888,0.003228059654491,0,0.90021785193725,0.445602983782611,,0.161289469989216
TCGA-DD-AACN-01,0.130433410420473,0.003568800529288,0.51002780157821,0.109171549771365,0.117308569921901,0.030989302568613,0.09716649524533,0.00133406996482,0,0.845403211570139,0.56747623399211,,0.251310780871662
TCGA-DD-AAD5-01,0.095333576243853,0.096467992191518,0.270879870003157,0.168673314095909,0.0412746883204,0.056050167236304,0.270738141253482,0.000582250655377,0,0.629924718966518,0.805443858459965,,0.233076256755771
TCGA-CC-A3MC-01,0.109916176715155,0.035058234888967,0.613855956937756,0.096050210172449,0.046752612742251,0.021412738862875,0.075883073403673,0.001070996276874,0,0.821664050144099,0.574341974926094,,0.191727024346373
TCGA-DD-A113-11,0.081053400527701,0.004185855388063,0.731518982532285,0.047502780704432,0.069129864839195,0.018540151504872,0.045926377104862,0.002142587398588,0,0.799730684791191,0.617212183047865,,0.15436912075496
TCGA-DD-A1EJ-11,0.073605923971183,0.009591560344462,0.695909711017254,0.023113191144159,0.12686323615022,0.016511248814495,0.049704977265932,0.004700151292295,0,0.834820298631655,0.556936845964108,,0.210060720465865
TCGA-DD-A73A-01,0.100040303205329,0,0.688157078393487,0.062865755569936,0.094517330661202,0.022887279705297,0.030669154782596,0.000863097682153,0,0.867684083435169,0.501929852159078,,0.19455763386653
TCGA-DD-AADI-01,0.086492966927662,0.033171803420085,0.51647716468516,0.101494633654435,0.121424627284192,0.040811558297543,0.099238501606053,0.000888744124869,0,0.712665219032449,0.703956596954376,,0.241089397631938
TCGA-CC-A7IG-01,0.054124550292508,0.08787867113631,0.302665110742517,0.301723621918472,0.075325476176327,0.045679127816837,0.130739693301828,0.0018637486152,0,0.482320145751309,0.878127520543498,,0.217328697605145
TCGA-G3-AAV3-01,0.116277589547728,0.026644964260386,0.512527875469671,0.1131830622328,0.075439376764676,0.03432019006342,0.120745030081427,0.000861911579893,0,0.737931852752605,0.679903902795988,,0.21836193057279
TCGA-MI-A75H-01,0.119428160544061,0.016172133111936,0.591298910809239,0.070896961124969,0.078190099890321,0.023100245218069,0.100478398299346,0.00043509100206,0,0.827933266107645,0.568040042334051,,0.213790393546318
TCGA-DD-A73E-01,0.147344175748827,0.058072508712938,0.371577315938735,0.125332630670363,0.128848452088053,0.035606406901353,0.133218509939731,0,0,0.57774357211618,0.820105134362884,,0.334265136549818
TCGA-2Y-A9H7-01,0.077946572408588,0.03116859464692,0.528441851710203,0.14632809991592,0.094517640819613,0.063479862214876,0.054995737097902,0.00312164118598,0,0.668581109093029,0.744570274383357,,0.20363280787512
TCGA-CC-A8HV-01,0.088715323078326,0.106006600854947,0.318207935508653,0.168938430726284,0.125661310972809,0.073886598101635,0.115393905544773,0.003189895212573,0,0.714707299529373,0.753382189209564,,0.320383234906082
