NAME	Central_venous_LSECs	Cholangiocytes	Other	Hepatocyte	Portal_endothelial_Cells	Periportal_LSECs	Hepatic_Stellate_Cells	Erythroid_Cells
CD93	261.325364113408	1	1	1	116.872724005724	118.574785110532	1	1
CD99	663.091328290297	1	288.253719183846	1	405.470802224132	556.232501075015	873.205736792879	1
CDC27	1	1	1	1	1	1	1	58.4904543922246
CDC37	131.458523970607	1	75.4884577850731	1	122.512605439069	134.255637281146	1	1
CDC42EP1	1	96.1107963708658	1	1	1	1	1	1
CDC42SE1	1	1	142.667380452936	1	1	1	1	1
CDC42SE2	1	1	118.675075758184	1	1	1	1	1
CDH11	1	1	1	1	1	98.5195045652781	1	1
CDH5	313.16690225628	1	1	1	167.419157254829	126.959084613545	1	1
CDK1	1	1	1	1	1	1	1	83.4144557204449
CDKN1C	1	1	1	1	1	1	65.7580851776515	1
CDKN2D	1	1	1	1	1	1	1	55.4332794149106
CDKN3	1	1	1	1	1	1	1	45.5567564232704
CEBPB	1	1	171.197010432249	186.304091854158	1	1	252.435888375922	1
CELF1	1	1	1	110.55589989481	79.5423816182464	1	1	1
CELF2	1	1	179.404356351915	1	1	1	1	1
CENPF	1	1	1	1	1	1	1	116.845217843224
CEP350	105.665709306637	1	1	1	1	1	1	1
CERS2	1	1	1	84.3881812077748	1	1	1	1
CES1	1	832.268021766791	87.7995079991196	1480.67371150277	1	1	1	98.0859523011409
CES2	1	1	1	252.782473115628	1	1	1	1
CETP	224.962268365824	1	1	1	1	1	1	1
CFB	1	1	1	131.027593192744	1	1	1	1
CFD	1	1	112.213842796438	1	1	1	1	1
CFH	1	1	1	599.429084305748	1	1	368.818169225981	1
CFHR1	1	1	1	134.597779232116	1	1	1	1
CFI	1	1	1	283.158090223898	1	1	1	1
CFLAR	303.761926828687	1	143.046136946237	1	371.707334550916	180.909496767591	1	1
CFP	297.397489124453	1	1	1	1	1	1	1
CH17.189H20.1	1	1	78.812994848961	1	1	1	1	1
CHCHD10	1	297.587506243844	147.216014280866	911.945211931713	1	1	1	1
CHCHD5	1	1	1	83.3145050360854	1	1	1	1
CHD9	96.2843314016385	1	1	1	74.0729311429593	1	1	1
CHMP3	123.79772906124	1	1	1	99.7221857328272	128.788102910753	1	1
CHMP4A	1	1	97.5646513495941	1	1	1	1	1
CHMP5	1	1	1	1	99.1310465102026	1	1	57.7319681696513
CHP1	1	194.366599599195	1	162.362138040197	1	1	1	1
CHPT1	1	1	1	73.0771416359467	1	1	1	47.0831948283535
CHST12	348.11092405518	1	101.838670985775	1	1	1	1	1
CHURC1	105.521638821546	1	98.5819811283573	70.9192756679242	95.0850954686224	133.200980059008	1	1
CIB1	1	1	96.9327989115882	88.9783569320285	80.1243001620652	1	1	1
CIDEB	1	1	1	100.895091856662	1	1	1	1
CIR1	1	1	1	1	1	1	1	51.6021645685205
CISD1	111.842241379427	1	1	98.2475098761168	1	1	1	1
CISD2	1	1	1	56.5178207153632	1	1	1	83.9382104726964
CISD3	1	158.881357336187	1	304.619301408533	1	1	1	1
CITED2	1	1	126.012971961611	1	1	1	318.350381188015	114.452344953155
CITED4	1	338.548827278672	1	1	1	1	1	1
