NAME	Other	Non-inflammatory_Macrophage	alpha-beta_T_Cells	Inflammatory_Macrophage	NK-like_Cells	gamma-delta_T_Cells	Mature_B_Cells	Plasma_Cells
ATP6V1B2	1	127.689157866755	1	130.809607923018	1	1	1	1
ATRAID	1	1	81.404325703928	1	1	97.753079510601	1	97.587660312271
ATRX	1	1	73.752974705987	1	106.093054571977	81.8568061564455	139.902712812927	1
AUP1	1	1	1	1	1	1	1	101.232593793303
AURKAIP1	146.618323758422	1	79.9275764001765	112.37527126484	99.5323870122161	100.511734206655	70.2218680971841	254.406132802927
AXL	1	301.494550102303	1	1	1	1	1	1
AZGP1	1777.44598618425	1	65.1590354488911	86.4907168599654	95.4778685474014	108.782052960687	114.958591537033	1
B4GALT1	91.858646500568	1	1	1	1	1	1	1
BAAT	394.841809482424	1	1	1	1	1	1	1
BANF1	1	1	80.6306272065972	1	101.833424636207	113.620203417398	1	88.5371226980456
BANK1	1	1	1	1	1	1	249.920724302532	1
BASP1	1	402.426256472256	1	1	1	1	71.0474562698863	1
BAX	1	1	102.109988350569	84.1444500969734	104.427182349484	138.292009471926	61.6303397289818	1
BBX	1	1	1	1	93.1813915148438	1	80.6524456544115	1
BCHE	148.31218518869	1	1	1	1	1	1	1
BCL11B	1	1	79.6828302044151	1	1	1	1	1
BCL2	1	1	1	1	1	1	70.1401264637116	1
BCLAF1	1	1	89.3225945825702	1	111.921760080427	75.1659855729407	81.1516045395866	1
BHMT	234.040140355536	1	1	1	1	1	1	1
BHMT2	69.443771562026	1	1	1	1	1	1	1
BIN1	1	1	91.105812727288	1	1	128.15977837037	98.6856701322471	1
BIN2	1	1	143.178044804662	1	192.806737298536	324.081657104585	1	1
BIRC2	67.8378880578861	1	1	1	1	1	1	1
BIRC3	1	1	1	1	1	1	427.361709639531	1
BIRC5	1	1	1	1	1	1	1	81.5961820681008
BLK	1	1	1	1	1	1	98.3843255721536	1
BLNK	1	1	1	1	1	1	78.2614999829434	1
BLVRA	1	119.428621162687	1	1	1	1	1	1
BLVRB	285.266342572496	536.548725850802	1	444.609975605046	1	1	1	1
BNIP3	161.318122110697	1	1	1	1	1	1	1
BNIP3L	1	181.912345257714	1	123.103110089543	1	1	1	1
BOLA3	1	1	1	1	1	1	1	97.6835297333473
BPTF	1	1	1	1	80.6831842205391	1	1	1
BRD2	1	1	139.18048407788	1	159.987163636309	133.465738710621	55.50320884797	80.1404678174824
BRI3	135.182960023478	378.491712693094	1	345.046575449958	1	1	1	1
