NAME	CD8+ Cells	Tregs	Non-immune cluster	Nk Cells	CD4+ Cells	B Cells	Myeloid	Mast Cells
CD3E	906.013364092027	1116.4824544241	1	602.73753624465	1058.16654322207	261.359464917129	1	1
CD3G	672.543716216626	644.364541551109	1	340.153135182282	669.399559450839	201.431584648506	1	1
CD4	1	214.166310655025	1	1	1	1	226.381587865812	1
CD40LG	1	1	1	1	261.460779868369	1	1	1
CD47	237.948126827661	168.212017719678	1	306.730281917154	1	257.786965422293	196.342950086253	419.258882263351
CD52	1589.35655420564	2059.89709795803	1	1541.82789940625	2537.00717210763	481.244661994285	1222.23868884729	435.370875684729
CD55	1	1	1	352.483488116112	325.229449169812	398.62085039477	372.12612500997	572.559928468752
CD58	1	178.790983855701	1	1	1	1	1	201.626494740632
CD68	1	1	1	1	1	1	928.690780476454	1
CD69	2007.97872310775	1130.11347624134	1	1643.5260441506	2724.63150094225	615.495484795639	428.599131236197	1720.45480148421
CD7	813.623036861144	1029.98443603577	1	1452.82161129381	656.584267405077	258.647299725759	1	75.4111891500964
CD79A	1	1	1	1	1	1167.31291922259	1	1
CD79B	1	210.464946016554	1	1	1	334.059258709464	1	1
CD82	1	252.604385065001	1	1	1	1	1	481.994468473678
CD83	1	170.837924952215	1	256.26794103924	1	1	775.632480043915	526.99412538517
CD84	239.146877814814	1	1	1	1	1	182.884494473078	77.6265097809267
CD86	1	1	1	1	1	1	371.92378957491	1
CD8A	771.272791166782	1	1	203.1051230026	260.478910909065	1	1	1
CD8B	805.699640246455	1	1	1	248.095264422622	144.551478281414	1	1
CD9	1	1	1029.36593571891	1	1	214.921066714031	457.886658771769	1670.09057737873
CD93	1	1	258.55346274556	1	1	1	1	1
CD96	449.668265448131	424.928693784903	1	380.152233108167	449.975983717129	147.038927318567	1	1
CDC123	1	1	1	1	1	1	1	275.48484198728
CDC26	1	199.654605449089	1	1	1	135.478117188368	1	397.192624378905
CDC37L1	1	164.691358916308	1	1	1	183.510104502136	1	1
CDC40	1	175.547405249236	1	1	1	1	1	1
CDC42EP3	1	1	1	1	1	1	1	576.860486031128
CDC42SE1	329.977175540622	298.676999867202	1	785.758039054777	493.222755474547	102.815932078589	391.344347049322	502.286117565518
CDC42SE2	682.137772049675	637.011378106101	1	579.95256500524	686.818617881959	401.476885696032	312.868411793725	1
CDK2AP2	230.295824800751	229.069046761243	1	291.755253405903	1	389.32786299874	149.819259813503	1
CDK5RAP3	1	1	1	1	1	228.917185646601	1	388.064428587693
CDK7	1	1	1	1	1	1	1	301.138856132127
CDKN1B	339.81773901304	405.297354703032	1	1	344.811095919509	213.524437237631	1	1
CEBPB	1	1	1	1	1	1	283.433376791868	1
CEBPD	1	1	1	1	1	1	180.724359014627	1
CEBPZ	252.406079593318	209.613752036106	1	238.503116365392	295.4733014102	1	1	427.544273851823
CECR1	1	1	1	1	1	142.293204393856	255.539009893166	1
CELF1	1	1	1	1	1	1	158.253558693261	1
CENPM	1	1	1	1	1	214.550654380415	1	1
CES1	1	1	582.722946657328	1	1	1	1	1
CES2	1	1	240.789182889167	1	1	1	1	1
CFAP20	222.312576703907	331.467128625408	1	1	1	1	1	1
CFD	1	1	1	1	1	1	247.735608894074	1
CFDP1	1	1	403.138991938927	1	1	137.110828250902	1	1
CFH	1	1	683.86967705737	1	1	1	1	1
CFHR1	1	1	548.725367651857	1	1	1	1	1
CFL2	1	1	1	1	1	305.878484988291	1	1
CFP	1	1	1	1	1	1	192.570389200629	1
CH17.189H20.1	1	1	1	257.647273569872	1	1	1	296.754759245383
CH17.373J23.1	1	1	1	1	1	215.079405013014	1	1
CHAC2	1	1	1	1	1	1	1	419.258882263351
CHCHD1	1	183.271063943151	1	1	1	127.906392197937	1	1
CHCHD5	1	1	1	1	1	1	169.754631547093	1
CHCHD7	1	202.346450814715	1	1	220.647039355249	201.134844528029	170.863647795822	1
CHD2	1	199.529664299819	1	1	200.309857081396	152.825004323072	1	248.741984068799
CHD9	1	1	1	1	1	251.065362569678	1	208.785780445069
CHID1	1	1	1	1	1	278.239494398644	1	1
CHMP4A	383.638717343668	336.831245703926	1	407.150779014565	349.620089119221	257.587728316505	286.257020498184	1
CHMP4B	1	1	1	1	1	199.976125624062	1	1
CHST12	1	1	1	332.425535210991	1	206.065190001114	1	1
CIR1	219.107320821963	267.361940729101	1	227.288384950185	219.014916369009	170.026821615887	1	1
CISD1	1	1	274.369525315439	1	1	1	1	1
CISD2	1	220.910587785729	1	1	1	309.330320516455	208.728037982095	1
CISD3	1	1	237.467022751686	1	1	1	1	1
CKS1B	1	1	325.840825891791	1	1	1	1	1
CLDND1	1	171.129043923049	1	338.801770251715	240.088830821013	151.678076326532	127.620776264585	281.539905250766
