"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RBP1",2.02997097482717e-172,1.80872588364324,0.52,0.069,4.06136292933673e-168,"Central_venous_LSECs","RBP1"
"DAB2",5.03286565889575e-171,1.94837207000041,0.569,0.088,1.00692543237527e-166,"Central_venous_LSECs","DAB2"
"SOCS2",3.47799919800129e-169,1.77052162071529,0.438,0.051,6.95843299544118e-165,"Central_venous_LSECs","SOCS2"
"DLC1",7.64312053294139e-169,1.8980131189677,0.526,0.077,1.52915912502558e-164,"Central_venous_LSECs","DLC1"
"CALCRL",8.98846927578093e-169,1.70422615010864,0.461,0.054,1.79832304800549e-164,"Central_venous_LSECs","CALCRL"
"SLC7A8",1.58142367611526e-168,1.5986168279571,0.366,0.033,3.16395434880379e-164,"Central_venous_LSECs","SLC7A8"
"FXYD6",3.56405490502496e-168,1.72424815277565,0.405,0.042,7.13060464848344e-164,"Central_venous_LSECs","FXYD6"
"DCHS1",1.09655875075083e-167,1.33076197855921,0.271,0.017,2.19388509262718e-163,"Central_venous_LSECs","DCHS1"
"INMT",1.77333252893041e-166,1.92343478097312,0.474,0.058,3.54790639063108e-162,"Central_venous_LSECs","INMT"
"COL6A2",1.2865671734109e-165,1.37677396080149,0.31,0.023,2.57403494384318e-161,"Central_venous_LSECs","COL6A2"
"TMEM204",1.80942044724541e-165,1.59957587434981,0.389,0.039,3.62010748880389e-161,"Central_venous_LSECs","TMEM204"
"TEK",2.63122182498257e-165,1.54194107571317,0.35,0.031,5.26428550524263e-161,"Central_venous_LSECs","TEK"
"SOX18",5.78372115220281e-165,1.58785521263071,0.402,0.041,1.15714909092122e-160,"Central_venous_LSECs","SOX18"
"FZD4",9.46916299961095e-163,1.6290098182214,0.382,0.039,1.89449544133216e-158,"Central_venous_LSECs","FZD4"
"FSCN1",1.49575388205616e-161,1.51166766406884,0.343,0.031,2.99255479182976e-157,"Central_venous_LSECs","FSCN1"
"TBXA2R",4.25361531595355e-160,1.0429467200783,0.167,0.005,8.51020816262827e-156,"Central_venous_LSECs","TBXA2R"
"ATRNL1",2.03740912536803e-159,0.867200971321619,0.15,0.004,4.07624443712382e-155,"Central_venous_LSECs","ATRNL1"
"TIE1",3.49913648683101e-158,1.49608002001682,0.346,0.032,7.0007223692028e-154,"Central_venous_LSECs","TIE1"
"TFPI",2.08108135854816e-157,1.81460336497275,0.918,0.349,4.1636194740473e-153,"Central_venous_LSECs","TFPI"
"P3H2",3.39465003104479e-154,1.08712336976715,0.199,0.009,6.79167631711132e-150,"Central_venous_LSECs","P3H2"
"SHANK3",1.91325847067222e-149,1.36844999815821,0.288,0.022,3.82785622227392e-145,"Central_venous_LSECs","SHANK3"
"ID1",9.31118249136696e-149,2.07128860198961,0.755,0.196,1.86288828104779e-144,"Central_venous_LSECs","ID1"
"MYO10",2.88138616038387e-148,1.52240475714471,0.304,0.026,5.76478929108e-144,"Central_venous_LSECs","MYO10"
"SPRY4",4.25001145440157e-148,1.176669930148,0.199,0.009,8.50299791682123e-144,"Central_venous_LSECs","SPRY4"
"MMRN1",4.29226525043297e-148,1.61462595512832,0.356,0.037,8.58753508654125e-144,"Central_venous_LSECs","MMRN1"
"RAMP2",1.09720743685963e-147,1.60952532154562,0.422,0.051,2.19518291892506e-143,"Central_venous_LSECs","RAMP2"
"FSTL1",4.07409673005961e-147,1.64289764681228,0.408,0.05,8.15104532783025e-143,"Central_venous_LSECs","FSTL1"
"EFNB1",2.67672119781906e-144,1.40144437564404,0.31,0.028,5.3553161004766e-140,"Central_venous_LSECs","EFNB1"
"LIMCH1",1.20702903919562e-143,1.56445688284043,0.373,0.042,2.41490299871867e-139,"Central_venous_LSECs","LIMCH1"
"FAM65C",6.6405373930194e-142,1.04379283193929,0.196,0.009,1.32857231622139e-137,"Central_venous_LSECs","FAM65C"
"EPOR",8.94684645613281e-142,1.48145477396795,0.317,0.03,1.78999557047849e-137,"Central_venous_LSECs","EPOR"
"CD93",1.10885779999407e-141,1.68530820962922,0.503,0.08,2.21849180044813e-137,"Central_venous_LSECs","CD93"
"EXOC3L2",1.67232778854497e-140,1.22730851329678,0.225,0.014,3.34582620654193e-136,"Central_venous_LSECs","EXOC3L2"
"CNN3",5.66549758674129e-139,1.87093336479733,0.729,0.202,1.13349610217933e-134,"Central_venous_LSECs","CNN3"
"RASIP1",1.80359388257354e-138,1.4012098748969,0.294,0.026,3.60845028086488e-134,"Central_venous_LSECs","RASIP1"
"NPL",1.1305610829292e-133,1.62169691491355,0.415,0.057,2.26191355861646e-129,"Central_venous_LSECs","NPL"
"BMPER",1.33885710662906e-133,1.30179241815733,0.252,0.019,2.67865141323276e-129,"Central_venous_LSECs","BMPER"
"SNHG23",3.66728869996504e-133,1.00940866541163,0.17,0.007,7.33714450202006e-129,"Central_venous_LSECs","SNHG23"
