"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CCNDBP1.3",3.47297566430571e-18,0.389135228625209,0.379,0.29,6.97269324122657e-14,"Nk Cells","CCNDBP1"
"METTL15.2",3.67635935326076e-18,0.438918869995173,0.2,0.122,7.38102667354163e-14,"Nk Cells","METTL15"
"SLC5A3.2",3.73255206138255e-18,0.488271245512771,0.262,0.184,7.49384477363775e-14,"Nk Cells","SLC5A3"
"TIMMDC1.2",3.80788473421598e-18,-0.271597369695302,0.118,0.224,7.64509018088541e-14,"Nk Cells","TIMMDC1"
"ZFP36L2.3",3.82296886659619e-18,0.283718411392704,0.574,0.478,7.67537459346516e-14,"Nk Cells","ZFP36L2"
"HM13.3",4.24762019865566e-18,-0.260012313639435,0.234,0.379,8.52794707284096e-14,"Nk Cells","HM13"
"WWP1.2",4.51288108576069e-18,-0.283923847358659,0.055,0.135,9.06051135588174e-14,"Nk Cells","WWP1"
"CDK2AP2.1",4.66237856171868e-18,0.407518875756517,0.402,0.332,9.3606574383626e-14,"Nk Cells","CDK2AP2"
"NCOR1.3",4.76856274513383e-18,0.387234293018262,0.318,0.226,9.5738434234052e-14,"Nk Cells","NCOR1"
"GADD45G.1",4.9918203689711e-18,-0.355097780903208,0.09,0.183,1.00220777547833e-13,"Nk Cells","GADD45G"
"MPZL3.2",5.08937366940693e-18,0.298100137204314,0.167,0.091,1.02179355160683e-13,"Nk Cells","MPZL3"
"PGD.3",5.14766774542933e-18,-0.271828129881838,0.065,0.15,1.03349725324985e-13,"Nk Cells","PGD"
"HDLBP.3",5.37390618881536e-18,-0.251359607155978,0.114,0.22,1.07891914552846e-13,"Nk Cells","HDLBP"
"MX1.2",5.8326765877846e-18,-0.313786012517167,0.124,0.228,1.17102647852951e-13,"Nk Cells","MX1"
"PDE4A.2",5.94014780733724e-18,0.397146451512188,0.143,0.077,1.1926034752791e-13,"Nk Cells","PDE4A"
"ASTE1",6.56156359249839e-18,0.350259117862243,0.118,0.058,1.3173651224659e-13,"Nk Cells","ASTE1"
"POLR2I.2",6.76696572213199e-18,-0.257453346661396,0.271,0.43,1.35860370803244e-13,"Nk Cells","POLR2I"
"ATF5.3",6.88852183320322e-18,-0.283030616081494,0.041,0.114,1.38300852845221e-13,"Nk Cells","ATF5"
"CYB5R1.1",7.03231311028505e-18,-0.266065141030301,0.056,0.138,1.41187750315193e-13,"Nk Cells","CYB5R1"
"ZNHIT1.2",8.01748110926815e-18,-0.251749987422669,0.343,0.526,1.60966968230777e-13,"Nk Cells","ZNHIT1"
"PRDM2.3",8.25072348863514e-18,0.38997471762379,0.252,0.166,1.65649775481328e-13,"Nk Cells","PRDM2"
"PCK2.2",8.88243323082742e-18,-0.268403124507635,0.038,0.109,1.78332611975322e-13,"Nk Cells","PCK2"
"SLC27A5.3",8.9862618573492e-18,-0.281949576061276,0.043,0.117,1.8041717931e-13,"Nk Cells","SLC27A5"
"ZYX.4",9.09485037472287e-18,-0.283806350859063,0.087,0.179,1.82597310973311e-13,"Nk Cells","ZYX"
