NAME	Other	Hepatocytes	Proliferation	vSMC	Stellate cells	CAFs	Pericytes
C1R	1	1062.51828904879	1	1	4224.99675838006	1213.69880496382	520.324841083343
C1RL	1	109.624852657327	1	1	1	1	1
C1S	1	1253.92855194508	1	1	3080.97374487019	1279.76055925614	1
C1orf162	385.883492780367	1	348.637332505574	1	1	1	1
C1orf198	1	1	1	1	253.32941833107	1	1
C1orf43	264.252734777123	184.999393386803	141.35831393298	1	1	1	1
C1orf54	1	1	1	1	1	1	438.248147846038
C2	1	236.83479519383	1	1	1	1	1
C2orf40	1	1	1	366.769045337187	1	1	1
C3	852.32012279296	4732.80401837038	1144.56881999308	1	2053.58755240602	508.678191253762	1
C4A	1	242.064378800475	1	1	1	1	1
C4B	1	1237.34189927989	1	1	481.384473725016	1	1
C4BPA	1	674.854353148584	1	1	1	1	1
C4BPB	1	281.264495791688	1	1	1	1	1
C5	1	245.324818845157	1	1	1	1	1
C5AR1	320.82567696579	1	1	1	1	1	1
C6	1	339.590123130906	1	1	1	1	1
C6orf48	209.433972458987	1	302.272357951305	1	390.116435010793	410.636919458083	1
C6orf62	224.948261339738	1	227.326811695025	1	1	1	1
C7	1	1	1	1	5915.83978922836	485.154340604732	1
C8A	1	271.690305586668	1	1	1	1	1
C8B	1	316.554727276714	1	1	1	1	1
C8G	1	135.799370913137	1	1	1	1	1
C9	321.535293244605	785.741559111512	1	1	1	1	1
CA2	1	95.996718648539	1	1	1	1	481.613522344783
CAB39	1	1	208.472123282749	1	1	1	1
CACYBP	1	1	364.519311432431	1	1	1	1
CALCOCO2	1	70.4240042994741	142.138170352183	1	270.316274466127	1	1
CALD1	1	275.831028841625	1	3947.25553706429	1929.67858011185	2622.4066831511	3831.36604171468
CALM3	226.592927856501	80.2904425210113	535.634915076616	410.653232473468	1	1	1
CALU	1	1	1	1	443.880445208322	619.895111211832	351.996464966544
CAMK2N1	1	94.6538293971244	1	1	1	1	710.327078756041
CAPG	300.366037107733	1	548.83627037699	1	1	1	1
CAPN2	1	1	1	1	193.480275551631	423.462769052207	306.683955079272
CAPRIN1	1	1	142.80660729198	1	1	1	1
CAPZA1	240.821221459629	1	435.646571570804	1	1	1	1
CAPZB	207.790478666946	1	323.151984610308	1	1	1	1
CAT	1	609.302969403024	1	1	1	1	1
CAV1	1	1	1	545.671958459483	1	1	492.536420479511
CAV2	1	1	1	285.731174873502	1	1	1
CAVIN1	1	1	1	967.009446770592	392.755339859644	501.045356708914	515.827096212744
CAVIN3	1	1	1	558.629386450019	140.435567869238	299.528174961031	628.587822203336
CBR1	1	142.882798082987	1	1	1	1	1
CBSL	1	109.161691610635	1	1	1	1	1
CBX1	1	1	116.308112241717	1	1	1	1
CBX3	235.404399904919	103.889572801799	355.849655650369	1	168.464050068925	274.006566543932	1
CBX5	1	1	177.273708138708	1	1	1	1
CCDC107	1	1	1	452.617527173198	1	1	1
CCDC3	1	1	1	1012.20429418237	416.440221117056	373.870277333647	488.60629019928
CCDC50	1	1	1	1	1	1	340.735482122133
CCDC80	1	1	1	1	1675.6694344748	440.472234107173	1
CCDC88A	1	1	321.662868697268	1	1	1	1
CCL14	1394.60865606976	1	1	1	1	1	1
CCL2	1	1	1	828.301484879489	2412.11470107716	413.465665233319	1
CCL21	1	1	1	1	401.802600675965	1	1
CCL3	452.525539771341	1	341.947553700658	1	1	1	1
CCL4	498.427117275922	1	1041.25862898046	1	1	1	1
CCL5	1	1	491.93493070224	1	1	1	1
CCNA2	1	1	186.659130005684	1	1	1	1
CCNB1	1	1	430.295517348427	1	1	1	1
CCNB2	1	1	269.44284872581	1	1	1	1
CCND1	1	1	1	362.17645897752	1	381.321524697937	1
CCND2	1	1	1	1	1	1	266.08810375243
CCND3	1	1	230.870198955211	1	1	1	1
CCNL1	1	1	1	232.195195332893	1	1	1
CCPG1	1	1	1	1	170.713252169916	1	1
CCT2	1	1	181.608418752853	1	1	1	1
CCT4	1	107.223734938371	233.915857152875	1	200.746605029002	1	312.133415621251
CCT6A	1	1	302.576941515612	1	1	1	1
CCT7	1	1	173.714638731005	309.782867551895	1	1	1
CCT8	1	1	278.97015618098	1	1	1	1
CD14	473.895959821344	271.939461517311	1	1	1	1	1
CD151	199.550929134198	1	1	441.011365893334	240.508674276052	280.16562606652	545.264889826555
CD163L1	466.059906304957	1	1	1	1	1	1
CD164	247.059343763864	88.101241190506	270.926096414499	1	232.603001552643	1	303.23611665292
CD24	333.981766078723	1	1	1	1	1	1
CD248	1	1	1	1	1	318.514847023337	547.971999784025
CD302	1	144.917926424076	1	1	355.075554323092	1	1
CD37	1	1	199.742576850087	1	1	1	1
CD4	489.503276322894	1	197.349012448704	1	1	1	1
CD44	321.641282082979	1	321.958756726193	1	1	1	1
CD46	1	95.7838947218254	1	1	1	1	1
CD52	1	1	573.781574562884	1	1	1	1
CD53	333.504771734651	1	488.695330462407	1	1	1	1
CD55	257.106639989479	1	1	1	1	1	1
CD69	1	1	174.000145548387	1	1	1	1
CD74	16167.6256180967	327.906968228367	15895.309511606	381.090152273575	3064.40806308488	680.649730428038	914.827070194142
CD83	351.480818042444	1	280.942450054178	1	1	1	1
CD9	510.071628705086	1	232.634189478467	1094.61916014053	1	590.01130865281	603.154954251324
CDC25B	1	1	439.97020758476	1	1	1	1
CDC42EP3	1	1	1	1	355.782425637658	1	1
CDCA5	1	1	130.883635487654	1	1	1	1
CDCA8	1	1	202.37461941267	1	1	1	1
CDH11	1	1	1	1	1	274.584920917677	1
CDH6	1	1	1	1	1	1	385.323156970723
CDK1	1	1	438.245662870398	1	1	1	1
CDK2AP2	1	1	170.06201875887	1	1	1	1
CDK4	1	1	135.300425173355	1	1	1	1
CDKN1A	422.164789600351	1	452.557093512289	2159.09575597295	256.656937933328	363.847643111639	614.202585072228
CDKN2D	1	1	143.652790395688	1	1	1	1
CDKN3	1	1	252.019601771732	1	1	1	1
CDO1	1	225.451512893648	1	1	1	1	1
CDV3	279.223370439136	111.642101290397	157.597395821536	1	1	1	361.199755590757
CELF2	1	1	130.363490405808	1	1	1	1
CENPE	1	1	252.592267804863	1	1	1	1
CENPF	1	1	719.410914296666	1	1	1	1
CENPU	1	1	132.72058178189	1	1	1	1
CEP350	1	1	195.757774011819	1	1	1	1
CEP55	1	1	237.526195841402	1	1	1	1
CERS2	296.874407915297	376.138161628606	230.008911205825	1	280.62172732164	1	1
CES1	1	131.927254928783	1	1	1	1	1
CES2	1	244.324403259013	1	1	1	1	1
CFH	1	1284.58085865472	1	1	1911.6835285369	847.889537062282	414.385863545558
CFHR3	1	288.364276219302	1	1	1	1	1
CFI	1	501.804277472635	1	1	186.633873854283	1	1
CFL2	1	98.6521982093879	1	1	1	1	1
CFLAR	333.541310019292	1	209.567608136716	1	1	1	1
CHD4	1	1	293.196395805896	434.008891929408	176.216411123061	1	1
CHMP2A	220.603186041168	104.087833864715	332.278251361642	1	1	1	1
CHMP3	225.831298890324	1	1	1	243.454851110672	274.793090163007	253.386571088625
CHP1	1	161.195474051486	1	1	1	1	1
CHPT1	1	103.195155499804	1	1	1	1	1
CHST12	1	248.201994818242	651.767105543074	1	2320.21580253409	1	1
CHSY1	1	1	1	325.043773018845	1	1	1
CIDEB	1	353.666863128559	1	1	1	1	1
CISD3	1	96.1782509999783	1	1	1	1	1
CITED2	1	1	1	1	467.567224118997	1	1
CKAP2	1	1	217.59043452819	1	1	1	1
CKAP4	1	1	1	1	278.973733705026	247.64211313819	1
CKAP5	1	1	185.095100846411	1	1	1	1
CKB	1	1	1	516.741195024576	1	1	1
CKLF	1	1	362.067215575275	1	1	1	1
CKS1B	1	1	298.053541672196	1	1	1	1
CKS2	1	1	307.785561848668	1	1	1	1
CLDN1	1	306.81611953298	1	1	1	1	1
CLEC11A	1	1	1	1	352.677029731816	376.981553611012	1
CLIC4	1	1	1	452.990233702245	301.489095674568	376.169450455452	364.518293033763
CLK1	1	1	296.418357174559	1	1	1	1
CLSTN1	1	1	1	1	334.247425387044	1	1
CLTA	223.15790769745	84.065601331476	184.462790934098	1	1	313.867216953405	1
CLU	635.834491231418	2454.43566871139	1	975.15424513175	285.250492530559	1	1
CMBL	1	356.62794371281	1	1	1	1	1
CMC1	1	104.420564330494	1	1	1	1	1
CMPK1	201.216710376994	192.359776393787	155.433519718731	1	1	1	1
CMTM3	1	1	1	1	1	358.940410405972	1
CMTM6	268.63514704419	101.453791064305	263.272090483618	1	1	1	1
CNIH1	1	118.74155845509	1	1	1	1	1
CNN1	1	1	1	902.927254701545	1	1	1
CNN2	1	1	264.946711936392	1	433.981699106862	301.964430472478	1
CNN3	1	1	1	1	290.569087742464	214.619806329015	396.375254239938
CNOT1	1	1	167.809474238966	1	1	1	1
CNPY3	1	1	278.057138077302	1	1	1	1
CNTRL	1	1	172.882743134976	1	1	1	1
COL10A1	1	1	1	1	255.411886872981	513.760124042637	1
COL12A1	1	1	1	1	290.855470479947	411.841898953655	540.290908979384
COL14A1	1	1	1	284.148619569586	890.96498424063	294.956017877936	644.487704357685
COL16A1	1	1	1	1	219.967250499186	1	1
COL18A1	1	298.228938046459	1	1107.29644532472	305.924403356265	1612.8908077307	2624.22928486085
COL1A1	1	1	1	509.909008949958	11558.6081136969	15136.0440023926	3875.76683567809
COL1A2	1	1	1	1	7869.64236191907	12159.1581936036	5763.18625107886
COL3A1	1	1	1	1	10202.1997212738	12977.4564031399	4554.74794309196
COL4A1	1	1	1	665.220090804735	1641.81313549276	3373.51284601657	3639.13491218595
COL4A2	1	1	1	692.756109014214	1579.33515626329	3767.30600700891	3202.84732525045
COL5A1	1	1	1	1	918.519888946463	1780.72922613268	926.01714218051
COL5A2	1	1	1	1	817.546848915695	1295.55647166469	703.598082440664
COL6A1	1	1	1	394.36638297913	2030.54968026999	597.968909660894	1134.61868756734
COL6A2	1	1	1	798.255762986294	1847.28876898756	627.040956900787	905.255685445853
COL8A1	1	1	1	1	265.618729322014	461.061299457853	1
COLEC10	1	1	1	1	533.378481375262	1	1
COLEC11	1	1	1	1	2686.19919494073	1581.37571153247	655.446316281764
COMMD1	175.792597879026	1	462.745982739362	1	1	1	1
COMMD4	1	1	150.692923717432	1	1	1	1
COMP	1	1	1	1	1	631.167334501097	1
COMT	1	209.335526434496	1	1	1	257.105022663603	1
COPA	1	53.9582364387655	1	1	184.488868813001	1	1
COPB2	1	1	95.7591644361292	1	1	1	1
COPS9	1	1	260.706124410531	1	1	294.902305428139	1
CORO1A	1	1	514.050607354057	1	1	1	1
CORO1B	1	1	207.053845005931	1	1	1	1
COTL1	457.983032735774	1	895.030501159527	1	1	1	1
COX14	1	111.345254042758	1	1	1	1	1
