NAME	Other	Kupffer cells	TM1	SAMs	T cells	cDC2	cDC1	B cells
BCAP31	275.83980678445	257.079914773541	248.727845535099	318.637166864486	1	1	1	1
BCAS3	468.266396602206	1	440.349038185744	292.644843345952	1083.75683467324	729.324760397096	950.705505447493	801.692364281618
BCL2A1	1	1	1093.02628135006	427.044887708173	1	394.395074670163	201.324943273571	1
BCL2L1	201.231215181983	1	1	1	1	1	1	1
BCL2L11	1	1	1	1	1	1	1	319.444973988708
BCL2L2.PABPN1	287.230774677158	426.757751996051	1	1	1	176.869707624326	99.1189523594359	1
BCL3	1	1	1	1	1	1	133.890179234307	1
BCL6	1	1	1	1	1	1	581.930592519081	1
BEND6	1	1	527.737832242231	273.666836206092	1	218.143062756902	1	1
BEX3	305.08898373627	1	1	1	1	1	1	1
BGN	2168.16220507779	1	1	1	1	1	1	1
BHLHE40	1	1	1	1	1	207.885960743367	1	1
BID	1	1	1	1	1	1	208.89385458878	1
BIN1	1	1	1	1	1	1	210.124257938888	1
BIRC3	1	1	374.337895624584	1	429.336791559533	316.566211071027	460.370832560725	813.675340092695
BLVRB	1	649.119447391008	1	1	1	1	1	1
BMP2K	1	1	1	194.678633240152	1	1	1	1
BNIP3L	1	1	347.617604452898	296.872981979631	1	1	1	1
BOD1L1	1	1	1	1	1	1	271.647739668394	1
BOLA2B	1	1	1	1	1	1	235.158367377812	214.137126900665
BPTF	263.835531456566	1	1	1	346.844310789522	180.11484484159	169.928934007	1
BRD2	1	1	1	1	470.601216589273	1	169.720862761601	1
BRD4	1	235.980974669984	1	1	1	173.137773004977	1	1
BRI3	278.587453123486	545.04395080677	566.548474032049	685.468040924592	1	332.285700817852	179.358378005155	1
BRI3BP	1	1	1	1	1	1	471.783702864121	1
BRK1	261.341779278572	1	264.392026019648	248.157093379711	1	313.51059147242	366.944561439568	1
BRSK1	495.595665043646	517.310559932691	1	285.479748140012	377.091414248993	336.871657595482	198.117283890316	1030.64747364709
BSG	240.338658331235	1	1	1	1	1	1	244.567785662789
BTG2	1	201.67056365089	337.724228515838	312.435562382509	641.728221344131	430.647264053898	336.52416235153	1417.56089241585
BTLA	1	1	1	1	1	1	224.433665603068	1
BTN3A2	1	1	1	1	1	1	1	166.100720652918
BX248415.1	380.172544767941	1	1	1	1	1	1	1
BZW1	196.482209506881	1	1	1	1	1	1	1
C10orf10	310.190341518675	1	1	1	1	1	1	1
C11orf58	220.525752701018	1	1	1	1	1	190.26779857849	1
C11orf80	1	1	1	1	1	1	1	205.262212727919
C12orf45	1	1	1	1	1	1	346.080369784073	187.055922374472
C12orf57	340.277788134761	1	1	1	1	1	1	230.591764957883
